"submittedname","acceptedname","sourceid","score","matchedname","authority","uri"
"Saponaria officinalis","Saponaria officinalis","iPlant_TNRS","1","Saponaria officinalis","L.","http://www.tropicos.org/Name/6300191"
"Scabiosa succisa","Succisa kamerunensis","iPlant_TNRS","1","Scabiosa succisa","Engler ex Mildbraed","http://www.tropicos.org/Name/11200218"
"Scrophularia nodosa","Scrophularia nodosa","iPlant_TNRS","1","Scrophularia nodosa","L.","http://www.tropicos.org/Name/29200389"
"Scrophularia vernalis","Venilia vernalis","iPlant_TNRS","1","Scrophularia vernalis","(L.) Fourr.","http://www.tropicos.org/Name/100365927"
"Sedum telephium","Hylotelephium telephium","iPlant_TNRS","1","Sedum telephium","(L.) H. Ohba","http://www.tropicos.org/Name/8901690"
"Serratula tinctoria","Serratula tinctoria","iPlant_TNRS","1","Serratula tinctoria","L.","http://www.tropicos.org/Name/2701309"
"Sibthorpia europaea","Sibthorpia europaea","iPlant_TNRS","1","Sibthorpia europaea","L.","http://www.tropicos.org/Name/29206547"
"Sison amomum","","iPlant_TNRS","1","Sison amomum","",""
"Sisymbrium alliaria","Alliaria petiolata","iPlant_TNRS","1","Sisymbrium alliaria","(M. Bieb.) Cavara & Grande","http://www.tropicos.org/Name/4100299"
"Solidago virgaurea","Solidago virgaurea","iPlant_TNRS","1","Solidago virgaurea","L.","http://www.tropicos.org/Name/2701339"
"Stachys betonica","Betonica officinalis","iPlant_TNRS","1","Stachys betonica","L.","http://www.tropicos.org/Name/17600028"
"Stachys sylvatica","Stachys sylvatica","iPlant_TNRS","1","Stachys sylvatica","L.","http://www.tropicos.org/Name/17600383"
"Stellaria graminea","Stellaria graminea","iPlant_TNRS","1","Stellaria graminea","L.","http://www.tropicos.org/Name/6300276"
"Stellaria holostea","Stellaria holostea","iPlant_TNRS","1","Stellaria holostea","L.","http://www.tropicos.org/Name/6300544"
"Teucrium scorodonia","Teucrium scorodonia","iPlant_TNRS","1","Teucrium scorodonia","L.","http://www.tropicos.org/Name/17600407"
"Verbascum thapsus","Verbascum thapsus","iPlant_TNRS","1","Verbascum thapsus","L.","http://www.tropicos.org/Name/29200424"
"Veronica chamaedrys","Veronica chamaedrys","iPlant_TNRS","1","Veronica chamaedrys","L.","http://www.tropicos.org/Name/29200228"
"Veronica montana","Veronica montana","iPlant_TNRS","1","Veronica montana","L.","http://www.tropicos.org/Name/29202474"
"Veronica officinalis","Veronica officinalis","iPlant_TNRS","1","Veronica officinalis","L.","http://www.tropicos.org/Name/29200238"
"Vicia cracca","Vicia cracca","iPlant_TNRS","1","Vicia cracca","L.","http://www.tropicos.org/Name/13034716"
"Vicia sepium","Vicia sepium","iPlant_TNRS","1","Vicia sepium","L.","http://www.tropicos.org/Name/13035027"
"Vicia sylvatica","","iPlant_TNRS","1","Vicia sylvatica","",""
"Vinca minor","Vinca minor","iPlant_TNRS","1","Vinca minor","L.","http://www.tropicos.org/Name/1800053"
"Viola odorata","Viola odorata","iPlant_TNRS","1","Viola odorata","L.","http://www.tropicos.org/Name/33800067"
