AccSpeciesID,AccSpeciesName,Measurements
59332,Acrotriche sp,1
1131,Actaea pachypoda,3
1132,Actaea rubra,3
1133,Actaea spicata,24
1136,Actinidia arguta,2
1137,Actinidia callosa,1
73585,Actinidia eriantha,1
1143,Actinidia rufa,1
1148,Actinobole uliginosum,2
1151,Actinodaphne ambigua,1
1152,Actinodaphne angustifolia,2
1154,Actinodaphne glabra,1
1155,Actinodaphne glomerata,3
1162,Actinodaphne multiflora,2
1163,Actinodaphne obovata,1
1165,Actinodaphne procera,1
1168,Actinodaphne sp,4
1175,Actinostemon concepcionis,2
1184,Actinotus helianthi,1
1185,Actinotus minor,3
59233,Adansonia aethopium,1
1186,Adansonia digitata,10
1189,Adansonia sp,1
1190,Adelia sp,1
1191,Adelia triloba,28
1192,Adelobotrys adscendens,3
1205,Adenanthera pavonina,1
1206,Adenanthera sp,1
65283,Adenia cissampeloides,1
1210,Adenia cordifolia,1
1219,Adenia heterophylla,1
65287,Adenia hondala,1
72639,Adenia kigogoensis,1
72640,Adenia litoralis,1
65288,Adenia lobata,1
1222,Adenia macrophylla,1
72641,Adenia mcdadiana,1
72642,Adenia metamorpha,1
1230,Adenia sp,4
59237,Adenium multiflora,1
59229,Adenocalymna sp,1
1248,Adenocarpus foliolosus,1
1253,Adenocarpus viscosus,1
1254,Adenocaulon bicolor,2
1269,Adenophora gmelinii,1
1275,Adenophora stenanthina,2
1277,Adenophora tetraphylla,1
1283,Adenostemma lavenia,1
1285,Adenostoma fasciculatum,27
1286,Adenostoma sparsifolium,3
1287,Adenostyles alliariae,16
1289,Adenostyles glabra,10
73717,Adenostyles leucophylla,5
1294,Adesmia bicolor,1
59241,Adiantium sp,2
1309,Adiantum formosum,1
1317,Adiantum pedatum,4
1321,Adiantum sp,39
1322,Adiantum trapezoides,1
1323,Adina cordifolia,1
1326,Adina minutiflora,1
1327,Adina pilulifera,1
1332,Adinandra acuminata,1
1339,Adinandra dumosa,3
73754,Adinandra megaphylla,1
1352,Adinandra sarosanthera,1
1353,Adinandra sp,1
1356,Adinandra verrucosa,1
1360,Adonis aestivalis,6
1364,Adonis vernalis,6
1365,Adoxa moschatellina,7
1378,Aechmea sp,1
1393,Aegilops geniculata,1
1395,Aegilops kotschyi,1
1401,Aegilops ovata,1
1415,Aegiphila cephalophora,24
1416,Aegiphila cordifolia,1
1417,Aegiphila costaricensis,3
1418,Aegiphila elata,9
1420,Aegiphila falcata,2
73784,Aegiphila glabra,1
1422,Aegiphila haughtii,2
1423,Aegiphila integrifolia,4
72643,Aegiphila memboscu,1
1428,Aegiphila panamensis,18
1433,Aegiphila smithii,1
1434,Aegiphila sp,11
1438,Aegopodium alpestre,2
1439,Aegopodium podagraria,10
1466,Aeonium sp,1
1471,Aerangis biloba,1
1488,Aerides sp,3
62125,Aeschynanthus albida,1
1497,Aeschynanthus gracilis,1
62126,Aeschynanthus lobbiana,2
1501,Aeschynanthus sp,3
1557,Aeschynomene sp,2
1566,Aesculus californica,8
1571,Aesculus hippocastanum,45
1575,Aesculus pavia,12
64192,Aetheopappus caucasicus,1
1593,Aethusa cynapium,11
1597,Aframomum sp,10
59238,africana sp,1
1605,Afrormosia laxiflora,3
1608,Afrostyrax lepidophyllus,6
1619,Afzelia quanzensis,7
1626,Agalinis pseudaphylla,1
1628,Agalmyla parasitica,1
1629,Aganisia sp,1
1632,Aganosma cymosa,8
1633,Aganosma sp,2
1643,Agapetes sp,3
1657,Agastache urticifolia,4
1661,Agathis atropurpurea,4
1666,Agathis macrophylla,3
1667,Agathis microstachya,2
1670,Agathis robusta,1
1671,Agathis sp,2
1675,Agathophora alopecuroides,95
1704,Agave sp,1
1709,Agave virginica,1
1712,Agelaea borneensis,8
1714,Agelaea macrophylla,7
1716,Agelaea sp,6
1717,Agelaea trinervis,7
1733,Ageratum conyzoides,31
1736,Ageratum sp,7
1741,Aglaia aquea,1
1742,Aglaia argentea,3
1745,Aglaia cordata,3
1748,Aglaia dookkoo,2
1749,Aglaia dubia,2
1752,Aglaia elegans,2
1753,Aglaia elliptica,1
1758,Aglaia ganggo,5
1769,Aglaia maingayi,3
1773,Aglaia odoratissima,1
1780,Aglaia sapindina,1
1783,Aglaia sp,16
1787,Aglaia tomentosa,1
1788,Aglaia triplex,1
1791,Aglaomorpha heraclea,2
1792,Aglaonema simplex,2
1793,Aglaonema sp,3
1795,Agonandra brasiliensis,3
1796,Agonandra peruviana,2
1797,Agonandra silvatica,12
1801,Agonis sp,1
1803,Agoseris aurantiaca,1
1805,Agoseris glauca,24
1810,Agrimonia eupatoria,9
1811,Agrimonia gryposepala,8
1814,Agrimonia pilosa,1
1815,Agrimonia procera,12
1816,Agrimonia pubescens,7
1818,Agriophyllum arenarium,1
1833,Agropyron cristatum,22
1835,Agropyron dasystachyum,1
1836,Agropyron desertorum,10
1841,Agropyron imbricatum,1
1847,Agropyron michnoi,2
1851,Agropyron repens,35
1854,Agropyron scabrum,1
1857,Agropyron smithii,4
59263,Agropyron sp,1
1859,Agropyron subsecundum,2
1869,Agrostemma githago,16
1876,Agrostis alba,10
1885,Agrostis avenacea,1
1904,Agrostis canina,10
1905,Agrostis capillaris,22
1912,Agrostis curtisii,4
1937,Agrostis gigantea,8
1957,Agrostis hyemalis,4
1996,Agrostis mertensii,100
2034,Agrostis planifolia,1
2046,Agrostis rupestris,27
2050,Agrostis scabra,6
2057,Agrostis schraderiana,27
59277,Agrostis sp,1
2065,Agrostis stolonifera,26
2076,Agrostis tenuis,1
2101,Agrostis vinealis,11
2110,Agrostophyllum bicuspidatum,1
2120,Aidia genipiflora,4
2124,Ailanthus altissima,6
2126,Ailanthus fordii,3
2129,Ailanthus integrifolia,1
2136,Aiouea grandifolia,4
73957,Aiouea longipetiolata,2
73958,Aiouea maguireana,1
73959,Aiouea myristicoides,1
2140,Aiouea sp,1
65363,Aiphanes ulei,1
2143,Aira caryophyllea,43
2146,Aira elegantissima,1
2147,Aira praecox,13
73984,Ajania achilloides,1
2158,Ajania fruticulosa,1
2160,Ajania tibetica,2
2162,Ajuga chamaepitys,17
2165,Ajuga genevensis,5
64199,Ajuga orientalis,1
2170,Ajuga pyramidalis,5
2172,Ajuga reptans,54
2173,Ajuga sp,1
2177,Akebia trifoliata,6
65369,Alafia barteri,3
2181,Alafia microstylis,1
2182,Alafia multiflora,3
2186,Alangium chinense,3
2190,Alangium javanicum,2
2199,Alangium ridleyi,2
2200,Alangium rotundifolium,3
2202,Alangium sp,1
2203,Alangium villosum,2
2204,Alania sp,1
74001,Alberta humblotii,12
2206,Alberta magna,1
2209,Albizia adianthifolia,9
74006,Albizia caribaea,1
2221,Albizia chinensis,2
2223,Albizia corymbosa,1
2227,Albizia falcataria,4
2228,Albizia ferruginea,2
2232,Albizia guachapele,5
2233,Albizia gummifera,20
2237,Albizia julibrissin,20
2238,Albizia kalkora,2
2239,Albizia lebbeck,8
2241,Albizia lebbek,1
2244,Albizia lucida,1
2252,Albizia niopoides,3
2267,Albizia sp,16
2278,Albizia zygia,1
2279,Albizzia julibrissin,5
59447,Albizzia sp,1
2292,Alcea rosea,5
2299,Alchemilla alpina,185
2302,Alchemilla caucasica,3
2316,Alchemilla elisabethae,1
2318,Alchemilla erythropoda,1
2321,Alchemilla filicaulis,2
2326,Alchemilla fluminea,1
2327,Alchemilla glabra,201
2329,Alchemilla glaucescens,27
2348,Alchemilla mollis,5
2349,Alchemilla monticola,5
2357,Alchemilla pentaphyllea,16
2359,Alchemilla pinnata,1
2362,Alchemilla propinqua,5
2366,Alchemilla rigida,1
2370,Alchemilla sericata,1
2371,Alchemilla sericea,1
2377,Alchemilla subcrenata,15
2378,Alchemilla subglobosa,5
2385,Alchemilla valdehirsuta,2
2389,Alchemilla vulgaris,2
2391,Alchemilla xanthochlora,7
2394,Alchornea cordifolia,10
2395,Alchornea costaricensis,32
2396,Alchornea floribunda,4
2397,Alchornea glandulosa,3
2400,Alchornea ilicifolia,1
2401,Alchornea iricurana,1
2402,Alchornea latifolia,7
2403,Alchornea laxiflora,1
74151,Alchornea leptogyna,1
2406,Alchornea rugosa,4
74152,Alchornea scandens,10
2407,Alchornea schomburgkii,1
2408,Alchornea sp,4
2409,Alchornea trewioides,1
2411,Alchornea triplinervia,9
2412,Alchorneopsis floribunda,6
2416,Aldina heterophylla,2
2417,Aldina insignis,1
2418,Aldina kunhardtiana,1
2435,Alectryon excelsus,3
2436,Alectryon oleifolius,5
2439,Alectryon subcinereus,1
2450,Aleurites moluccana,6
2453,Aleurites sp,1
2455,Alexa grandiflora,1
2456,Alexa imperatricis,1
2458,Alexa wachenheimii,5
65399,Alhagi sparsifolia,1
2464,Alibertia edulis,30
65400,Alibertia isernii,1
72648,Alibertia jorge,1
72649,Alibertia lance,1
74176,Alibertia myrciifolia,1
72650,Alibertia pelitos,1
2466,Alibertia pilosa,1
2468,Alibertia sp,1
2469,Alibertia stenantha,1
2470,Alibertia verrucosa,5
2471,Alisma gramineum,10
2472,Alisma lanceolatum,25
2473,Alisma plantago-aquatica,10
2481,Allamanda cathartica,1
2484,Allanblackia floribunda,1
2490,Allantospermum borneense,3
2492,Allantospermum sp,1
