species,photo
Hippuris vulgaris,c3
Holcus lanatus,c3
Holcus mollis,c3
Holoschoenus vulgaris,c3
Holosteum umbellatum,c3
Homogyne alpina,c3
Honckenya peploides,c3
Honkenya peploides,c3
Hordelymus europaeus,c3
Hordeum glaucum,c3
Hordeum jubatum,c3
Hordeum leporinum,c3
Hordeum marinum,c3
Hordeum murinum,c3
Hordeum secalinum,c3
Hornungia petraea,c3
Hottonia palustris,c3
Humulus lupulus,c3
Hutera monensis,c3
Hutera wrightii,c3
Hyacinthoides non-scripta,c3
Hydrilla verticillata,c3
Hydrocharis morsus-ranae,c3
Hydrocotyle vulgaris,c3
Hyoscyamus niger,c3
Hypericum androsaemum,c3
Hypericum calycinum,c3
Hypericum canadense,c3
Hypericum dubium,c3
Hypericum elodes,c3
Hypericum hirsutum,c3
Hypericum humifusum,c3
Hypericum linariifolium,c3
Hypericum maculatum,c3
Hypericum montanum,c3
Hypericum perforatum,c3
Hypericum pulchrum,c3
Hypericum quadrangulum,c3
Hypericum tetrapterum,c3
Hypericum undulatum,c3
Hypochaeris glabra,c3
Hypochaeris maculata,c3
Hypochaeris radicata,c3
Iberis amara,c3
Ilex aquifolium,c3
Illecebrum verticillatum,c3
Impatiens biflora,c3
Impatiens capensis,c3
Impatiens fulva,c3
Impatiens glandulifera,c3
Impatiens noli-tangere,c3
Impatiens parviflora,c3
Imperatoria ostruthium,c3
Inula conyza,c3
Inula conyzae,c3
Inula crithmoides,c3
Inula salicina,c3
Iris foetidissima,c3
Iris pseudacorus,c3
Iris versicolor,c3
Isatis tinctoria,c3
Isolepis cernua,c3
Isolepis setacea,c3
Jasione montana,c3
Juncus acutiflorus,c3
Juncus acutus,c3
Juncus alpinoarticulatus,c3
Juncus alpinus,c3
Juncus ambiguus,c3
Juncus articulatus,c3
Juncus balticus,c3
Juncus biglumis,c3
Juncus bufonius,c3
Juncus bulbosus,c3
Juncus capitatus,c3
Juncus castaneus,c3
Juncus compressus,c3
Juncus conglomeratus,c3
Juncus dudleyi,c3
Juncus effusus,c3
Juncus filiformis,c3
Juncus foliosus,c3
Juncus gerardii,c3
Juncus inflexus,c3
Juncus kochii,c3
Juncus maritimus,c3
Juncus minutulus,c3
Juncus mutabilis,c3
Juncus planifolius,c3
Juncus pygmaeus,c3
Juncus ranarius,c3
Juncus squarrosus,c3
Juncus subnodulosus,c3
Juncus subuliflorus,c3
Juncus tenuis,c3
Juncus trifidus,c3
Juncus triglumis,c3
Juniperus communis,c3
Kalmia angustifolia,c3
Kalmia polifolia,c3
Kalmia procumbens,c3
Kickxia elatine,c3
Kickxia spuria,c3
Knautia arvensis,c3
Kobresia simpliciuscula,c3
Koeleria albescens,c3
Koeleria britannica,c3
Koeleria cristata,c3
Koeleria glauca,c3
Koeleria gracilis,c3
Koeleria macrantha,c3
Koeleria vallesiana,c3
Koenigia islandica,c3
Kohlrauschia nanteuilii,c3
Kohlrauschia prolifera,c3
Laburnum anagyroides,c3
Lactuca muralis,c3
Lactuca saligna,c3
Lactuca serriola,c3
Lactuca virosa,c3
Lagarosiphon major,c3
Lagurus ovatus,c3
Lamiastrum galeobdolon,c3
Lamium album,c3
Lamium amplexicaule,c3
Lamium confertum,c3
Lamium galeobdolon,c3
Lamium hybridum,c3
Lamium moluccellifolium,c3
Lamium purpureum,c3
Lampranthus falciformis,c3
Lapsana communis,c3
Lathyrus aphaca,c3
Lathyrus japonicus,c3
Lathyrus linifolius,c3
Lathyrus maritimus,c3
Lathyrus montanus,c3
Lathyrus niger,c3
Lathyrus nissolia,c3
Lathyrus palustris,c3
Lathyrus pratensis,c3
Lathyrus sylvestris,c3
Lavatera arborea,c3
Lavatera cretica,c3
Ledum groenlandicum,c3
Ledum palustre,c3
Leersia oryzoides,c3
Legousia hybrida,c3
Lembotropis nigricans,c3
Lemna gibba,c3
Lemna minor,c3
Lemna minuscula,c3
Lemna minuta,c3
Lemna polyrhiza,c3
Lemna trisulca,c3
Leontodon autumnalis,c3
Leontodon hispidus,c3
Leontodon saxatilis,c3
Leontodon taraxacoides,c3
Lepidium campestre,c3
Lepidium didymum,c3
Lepidium draba,c3
Lepidium heterophyllum,c3
Lepidium hirtum,c3
Lepidium latifolium,c3
Lepidium pratense,c3
Lepidium ruderale,c3
Lepidium smithii,c3
Lepidium squamatum,c3
Lepidium villarsii,c3
Leucanthemum vulgare,c3
Leucojum aestivum,c3
Leucojum vernum,c3
Leucorchis albida,c3
Leycesteria formosa,c3
Leymus arenarius,c3
Ligusticum scoticum,c3
Ligustrum vulgare,c3
Lilium martagon,c3
Lilium pyrenaicum,c3
Limonium bellidifolium,c3
Limonium binervosum,c3
Limonium binervosum agg.,c3
Limonium humile,c3
Limonium paradoxum,c3
Limonium recurvum,c3
Limonium transwallianum,c3
Limonium vulgare,c3
Limosella aquatica,c3
Limosella australis,c3
Limosella subulata,c3
Linaria dalmatica,c3
Linaria elatine,c3
Linaria genistifolia subsp. dalmatica,c3
Linaria purpurea,c3
Linaria repens,c3
Linaria spuria,c3
Linaria supina,c3
Linaria vulgaris,c3
Linnaea borealis,c3
Linum anglicum,c3
Linum angustifolium,c3
Linum bienne,c3
Linum catharticum,c3
Linum perenne,c3
Liparis loeselii,c3
Listera cordata,c3
Listera ovata,c3
Lithospermum arvense,c3
Lithospermum officinale,c3
Lithospermum purpurocaeruleum,c3
Littorella uniflora,c3
Lloydia serotina,c3
Lobelia dortmanna,c3
Lobelia urens,c3
Lobularia maritima,c3
Logfia minima,c3
Loiseleuria procumbens,c3
Lolium multiflorum,c3
Lolium perenne,c3
Lonicera caprifolium,c3
Lonicera periclymenum,c3
Lonicera xylosteum,c3
Lotus angustissimus,c3
Lotus corniculatus,c3
Lotus glaber,c3
Lotus hispidus,c3
Lotus parviflorus,c3
Lotus pedunculatus,c3
Lotus suaveolens,c3
Lotus subbiflorus,c3
Lotus tenuis,c3
Lotus uliginosus,c3
Lotus villosus,c3
Ludwigia palustris,c3
Lupinus arboreus,c3
Lupinus nootkatensis,c3
Lupinus polyphyllus,c3
Luronium natans,c3
Luzula arcuata,c3
Luzula campestris,c3
Luzula forsteri,c3
Luzula luzuloides,c3
Luzula multiflora,c3
Luzula pallescens,c3
Luzula pallidula,c3
Luzula pilosa,c3
Luzula spicata,c3
Luzula sylvatica,c3
Lychnis alpina,c3
Lychnis flos-cuculi,c3
Lychnis viscaria,c3
Lycium barbarum,c3
Lycium halimifolium,c3
Lycopsis arvensis,c3
Lycopus europaeus,c3
Lymnanthemum peltata,c3
Lysichiton americanus,c3
Lysimachia nemorum,c3
Lysimachia nummularia,c3
Lysimachia punctata,c3
Lysimachia terrestris,c3
Lysimachia thyrsiflora,c3
Lysimachia vulgaris,c3
Lythrum hyssopifolia,c3
Lythrum portula,c3
Lythrum salicaria,c3
Mahonia aquifolium,c3
Maianthemum bifolium,c3
Maianthemum kamtschaticum,c3
Malaxis paludosa,c3
Malus domestica,c3
Malus pumila,c3
Malus sylvestris,c3
Malus sylvestris subsp. mitis,c3
Malva arborea,c3
Malva moschata,c3
Malva neglecta,c3
Malva pseudolavatera,c3
Malva sylvestris,c3
Marrubium vulgare,c3
Matricaria discoidea,c3
Matricaria maritima,c3
Matricaria matricarioides,c3
Matricaria perforata,c3
Matricaria recutita,c3
Matricaria suaveolens,c3
Matthiola incana,c3
Matthiola sinuata,c3
Meconopsis cambrica,c3
Medicago arabica,c3
Medicago hispida,c3
Medicago lupulina,c3
Medicago minima,c3
Medicago nigra,c3
Medicago polymorpha,c3
Medicago sativa,c3
Melampyrum arvense,c3
Melampyrum cristatum,c3
Melampyrum pratense,c3
Melampyrum sylvaticum,c3
Melica nutans,c3
Melica uniflora,c3
Melilotus alba,c3
Melilotus albus,c3
Melilotus altissimus,c3
Melilotus officinalis,c3
Melittis melissophyllum,c3
Mentha aquatica,c3
Mentha arvensis,c3
Mentha hirsuta,c3
Mentha longifolia,c3
Mentha pulegium,c3
Mentha rotundifolia,c3
Mentha scotica,c3
Mentha spicata,c3
Mentha suaveolens,c3
Mentha x verticillata = M. arvensis x M. aquatica,c3
Mentha x villosa,c3
Menyanthes trifoliata,c3
Mercurialis annua,c3
Mercurialis perennis,c3
Mertensia maritima,c3
Mespilus germanica,c3
Meum athamanticum,c3
Mibora minima,c3
Microthlaspi perfoliatum,c3
Milium effusum,c3
Mimulus guttatus,c3
Mimulus luteus,c3
Mimulus moschatus,c3
Mimulus variegatus,c3
Minuartia hybrida,c3
Minuartia recurva,c3
Minuartia rubella,c3
Minuartia sedoides,c3
Minuartia stricta,c3
Minuartia verna,c3
Misopates orontium,c3
Moehringia trinervia,c3
Moenchia erecta,c3
Molinia caerulea,c3
Moneses uniflora,c3
Montia fontana,c3
Montia perfoliata,c3
Montia sibirica,c3
Muehlenbeckia complexa,c3
Muscari atlanticum,c3
Muscari neglectum,c3
Muscari racemosum,c3
Mycelis muralis,c3
Myosotis alpestris,c3
Myosotis arvensis,c3
Myosotis brevifolia,c3
Myosotis cespitosa,c3
Myosotis collina,c3
Myosotis discolor,c3
Myosotis laxa,c3
Myosotis palustris,c3
Myosotis ramosissima,c3
Myosotis repens,c3
Myosotis scorpioides,c3
Myosotis secunda,c3
Myosotis stolonifera,c3
Myosotis strigulosa,c3
Myosotis sylvatica,c3
Myosotis versicolor,c3
Myosoton aquaticum,c3
Myosurus minimus,c3
Myrica gale,c3
Myriophyllum alterniflorum,c3
Myriophyllum spicatum,c3
Myriophyllum verticillatum,c3
Myrrhis odorata,c3
Najas flexilis,c3
Najas marina,c3
Narcissus pseudonarcissus,c3
Nardurus maritimus,c3
Nardus stricta,c3
Narthecium ossifragum,c3
Nasturtium microphyllum,c3
Nasturtium officinale,c3
Nasturtium palustre,c3
Naumburgia thyrsiflora,c3
Neotinea intacta,c3
Neotinea maculata,c3
Neotinea ustulata,c3
Neottia cordata,c3
Neottia ovata,c3
Nepeta cataria,c3
Nepeta glechoma,c3
Noccaea caerulescens,c3
Nuphar lutea,c3
Nuphar pumila,c3
Nymphaea alba,c3
Nymphoides peltata,c3
Odontites verna,c3
Odontites vernus,c3
Oenanthe aquatica,c3
Oenanthe crocata,c3
Oenanthe fistulosa,c3
Oenanthe fluviatilis,c3
Oenanthe lachenalii,c3
Oenanthe pimpinelloides,c3
Oenanthe silaifolia,c3
Oenothera biennis,c3
Oenothera cambrica,c3
Oenothera erythrosepala,c3
Oenothera glazioviana,c3
Oenothera novae-scotiae,c3
Oenothera stricta,c3
Omalotheca norvegica,c3
Omalotheca supinum,c3
Omalotheca sylvatica,c3
Onobrychis viciifolia,c3
Ononis campestris,c3
Ononis reclinata,c3
Ononis repens,c3
Ononis repens subsp. maritima,c3
Ononis repens subsp. spinosa,c3
Ononis spinosa,c3
Onopordum acanthium,c3
Ophrys apifera,c3
Ophrys fuciflora,c3
Ophrys holoserica,c3
Ophrys insectifera,c3
Ophrys sphegodes,c3
Orchis anthropophora,c3
Orchis latifolia var eborensis,c3
Orchis mascula,c3
Orchis militaris,c3
Orchis morio,c3
Orchis pardalina,c3
Orchis purpurea,c3
Orchis simia,c3
Orchis ustulata,c3
Origanum vulgare,c3
Ornithogalum angustifolium,c3
Ornithogalum nutans,c3
Ornithogalum pyrenaicum,c3
Ornithogalum umbellatum,c3
Ornithopus perpusillus,c3
Ornithopus pinnatus,c3
Orthilia secunda,c3
Otanthus maritimus,c3
Oxalis acetosella,c3
Oxalis articulata,c3
Oxalis corniculata,c3
Oxalis europaea,c3
Oxalis floribunda,c3
Oxalis fontana,c3
Oxalis pes-caprae,c3
Oxalis stricta,c3
Oxycoccos palustris,c3
Oxycoccus macrocarpus,c3
Oxycoccus microcarpus,c3
Oxyria digyna,c3
Oxytropis campestris,c3
Oxytropis halleri,c3
Papaver argemone,c3
Papaver commutatum,c3
Papaver dubium,c3
Papaver hybridum,c3
Papaver rhoeas,c3
Papaver somniferum,c3
Papaver strigosum,c3
Paramesus strictus,c3
Parapholis incurva,c3
Parapholis strigosa,c3
Parentucellia viscosa,c3
Parietaria diffusa,c3
Parietaria judaica,c3
Paris quadrifolia,c3
Parnassia palustris,c3
Pastinaca sativa,c3
Pedicularis palustris,c3
Pedicularis sylvatica,c3
Pentaglottis sempervirens,c3
Peplis portula,c3
Pernettya mucronata,c3
Persicaria amphibia,c3
Persicaria bistorta,c3
Persicaria hydropiper,c3
Persicaria lapathifolia,c3
Persicaria laxiflora,c3
Persicaria maculosa,c3
Persicaria minor,c3
Persicaria mitis,c3
Persicaria polystachya,c3
Persicaria vivipara,c3
Persicaria wallichii,c3
Petasites albus,c3
Petasites fragrans,c3
Petasites hybridus,c3
Petasites japonicus,c3
Petrorhagia nanteuilii,c3
Petrorhagia prolifera,c3
Petroselinum segetum,c3
Peucedanum officinale,c3
Peucedanum ostruthium,c3
Peucedanum palustre,c3
Phalaris arundinacea,c3
Phalaris paradoxa,c3
Phleum alpinum,c3
Phleum arenarium,c3
Phleum bertolonii,c3
Phleum commutatum,c3
Phleum hubbardii,c3
Phleum nodosum,c3
Phleum phleoides,c3
Phleum pratense,c3
Phleum pratense subsp. bertolonii,c3
Phleum pratense subsp. serotinum,c3
Phormium colensoi,c3
Phormium cookianum,c3
Phormium tenax,c3
Phragmites australis,c3
Phragmites communis,c3
Phyllodoce caerulea,c3
Physospermum cornubiense,c3
Phyteuma orbiculare,c3
Phyteuma spicatum,c3
Phyteuma tenerum,c3
Picris echioides,c3
Picris hieracioides,c3
Pilosella aurantiaca,c3
Pilosella flagellaris,c3
Pilosella officinarum,c3
Pilosella peleteriana,c3
Pimpinella major,c3
Pimpinella saxifraga,c3
Pinguicula grandiflora,c3
Pinguicula lusitanica,c3
Pinguicula vulgaris,c3
Pinus pinaster,c3
Pinus sylvestris,c3
Pittosporum crassifolium,c3
Plantago coronopus,c3
Plantago lanceolata,c3
Plantago major,c3
Plantago maritima,c3
Plantago media,c3
Platanthera bifolia,c3
Platanthera chlorantha,c3
Poa alpina,c3
Poa angustifolia,c3
Poa annua,c3
Poa balfourii,c3
Poa bulbosa,c3
Poa chaixii,c3
Poa compressa,c3
Poa flexuosa,c3
Poa glauca,c3
Poa humilis,c3
Poa infirma,c3
Poa nemoralis,c3
Poa palustris,c3
Poa pratensis,c3
Poa pratensis subsp. angustifolia,c3
Poa pratensis subsp. irrigata,c3
Poa subcaerulea,c3
Poa trivialis,c3
Poa x jemtlandica = P. flexuosa x P. alpina,c3
Polemonium caeruleum,c3
Polycarpon diphyllum,c3
Polycarpon tetraphyllum,c3
Polygala amara,c3
Polygala amarella,c3
Polygala austriaca,c3
Polygala calcarea,c3
Polygala serpyllifolia,c3
Polygala vulgaris,c3
Polygonatum multiflorum,c3
Polygonatum odoratum,c3
Polygonatum verticillatum,c3
Polygonum amphibium,c3
Polygonum arenastrum,c3
Polygonum aviculare,c3
Polygonum bistorta,c3
Polygonum boreale,c3
Polygonum convolvulus,c3
Polygonum cuspidatum,c3
Polygonum dumetorum,c3
Polygonum hydropiper,c3
Polygonum lapathifolium,c3
Polygonum maritimum,c3
Polygonum minus,c3
Polygonum mite,c3
Polygonum nodosum,c3
Polygonum oxyspermum,c3
Polygonum persicaria,c3
Polygonum polystachyum,c3
Polygonum raii,c3
Polygonum rurivagum,c3
Polygonum sachalinense,c3
Polygonum viviparum,c3
Polypogon monspeliensis,c3
Polypogon paniceus,c3
Populus alba,c3
Populus alba x tremula x canescens,c3
Populus candicans,c3
Populus gileadensis,c3
Populus nigra,c3
Populus tremula,c3
Populus x hybrida,c3
Potamogeton acutifolius,c3
Potamogeton alpinus,c3
Potamogeton berchtoldii,c3
Potamogeton coloratus,c3
Potamogeton compressus,c3
Potamogeton crispus,c3
Potamogeton epihydrus,c3
Potamogeton filiformis,c3
Potamogeton friesii,c3
Potamogeton gramineus,c3
Potamogeton lucens,c3
Potamogeton natans,c3
Potamogeton nodosus,c3
Potamogeton obtusifolius,c3
Potamogeton panormitanus,c3
Potamogeton pectinatus,c3
Potamogeton perfoliatus,c3
Potamogeton polygonifolius,c3
Potamogeton praelongus,c3
Potamogeton pusillus,c3
Potamogeton rutilus,c3
Potamogeton trichoides,c3
Potentilla anglica,c3
Potentilla anserina,c3
Potentilla argentea,c3
Potentilla crantzii,c3
Potentilla erecta,c3
Potentilla fruticosa,c3
Potentilla neumanniana,c3
Potentilla norvegica,c3
Potentilla palustris,c3
Potentilla procumbens,c3
Potentilla recta,c3
Potentilla reptans,c3
Potentilla rupestris,c3
Potentilla sibbaldi,c3
Potentilla sterilis,c3
Potentilla sylvestris,c3
Potentilla tabernaemontani,c3
Poterium officinale,c3
Poterium sanguisorba,c3
Primula acaulis,c3
Primula elatior,c3
Primula farinosa,c3
Primula scotica,c3
Primula veris,c3
Primula vulgaris,c3
Prunella laciniata,c3
Prunella vulgaris,c3
Prunus avium,c3
Prunus domestica,c3
Prunus insititia,c3
Prunus laurocerasus,c3
Prunus mahaleb,c3
Prunus padus,c3
Prunus serotina,c3
Prunus spinosa,c3
Pseudofumaria lutea,c3
Pseudognaphalium luteoalbum,c3
Pseudorchis albida,c3
Pseudosasa japonica,c3
Puccinellia distans,c3
Puccinellia fasciculata,c3
Puccinellia maritima,c3
Puccinellia pseudodistans,c3
Puccinellia rupestris,c3
Pulicaria dysenterica,c3
Pulicaria vulgaris,c3
Pulmonaria angustifolia,c3
Pulmonaria longifolia,c3
Pulmonaria officinalis,c3
Pulsatilla vulgaris,c3
Pyrola media,c3
Pyrola minor,c3
Pyrola rotundifolia,c3
Pyrola secunda,c3
Pyrus cordata,c3
Quercus canariensis,c3
Quercus cerris,c3
Quercus petraea,c3
Quercus robur,c3
Radiola linoides,c3
Ramischia secunda,c3
Ranunculus acris,c3
Ranunculus aquatilis,c3
Ranunculus arvensis,c3
Ranunculus auricomus,c3
Ranunculus baudotii,c3
Ranunculus bulbosus,c3
Ranunculus circinatus,c3
Ranunculus flammula,c3
Ranunculus fluitans,c3
Ranunculus hederaceus,c3
Ranunculus heterophyllus,c3
Ranunculus lenormandii,c3
Ranunculus lingua,c3
Ranunculus muricatus,c3
Ranunculus omiophyllus,c3
Ranunculus ophioglossifolius,c3
Ranunculus parviflorus,c3
Ranunculus peltatus,c3
Ranunculus penicillatus,c3
Ranunculus repens,c3
Ranunculus reptans,c3
Ranunculus sardous,c3
Ranunculus sceleratus,c3
Ranunculus trichophyllus,c3
Ranunculus tripartitus,c3
Raphanus maritimus,c3
Raphanus raphanistrum,c3
Rapistrum hispanicum,c3
Rapistrum orientale,c3
Rapistrum perenne,c3
Rapistrum rugosum,c3
Reseda lutea,c3
Reseda luteola,c3
Reseda stricta,c3
Reynoutria japonica,c3
Reynoutria sachalinensis,c3
Rhamnus cathartica,c3
Rhinanthus angustifolius,c3
Rhinanthus cristal-galli,c3
Rhinanthus minor,c3
Rhinanthus serotinus,c3
Rhododendron luteum,c3
Rhododendron ponticum,c3
Rhynchosinapis monensis,c3
Rhynchosinapis wrightii,c3
Rhynchospora alba,c3
Rhynchospora fusca,c3
Ribes alpinum,c3
Ribes nigrum,c3
Ribes rubrum,c3
Ribes spicatum,c3
Ribes sylvestre,c3
Ribes uva-crispa,c3
Robinia pseudoacacia,c3
Romulea columnae,c3
Rorippa amphibia,c3
Rorippa austriaca,c3
Rorippa islandica,c3
Rorippa microphylla,c3
Rorippa nasturtium-aquaticum,c3
Rorippa palustris,c3
Rorippa sylvestris,c3
Rosa afzeliana,c3
Rosa agrestis,c3
Rosa arvensis,c3
Rosa caesia,c3
Rosa canina,c3
Rosa coriifolia,c3
Rosa corymbifera,c3
Rosa dumalis,c3
Rosa glauca,c3
Rosa micrantha,c3
Rosa mollis,c3
Rosa obtusifolia,c3
Rosa pimpinellifolia,c3
Rosa rubiginosa,c3
Rosa scabriuscula,c3
Rosa sherardii,c3
Rosa spinosissima,c3
Rosa squarrosa,c3
Rosa stylosa,c3
Rosa tomentosa,c3
Rosa villosa,c3
Rosa vosagiaca,c3
Rubia peregrina,c3
Rubus caesius,c3
Rubus chamaemorus,c3
Rubus fruticosus,c3
Rubus idaeus,c3
Rubus phoenicolasius,c3
Rubus saxatilis,c3
Rubus spectabilis,c3
Rudbeckia laciniata,c3
Rumex acetosa,c3
Rumex acetosella,c3
Rumex alpinus,c3
Rumex angiocarpus,c3
Rumex aquaticus,c3
Rumex conglomeratus,c3
Rumex crispus,c3
Rumex frutescens,c3
Rumex hibernicus,c3
Rumex hydrolapathum,c3
Rumex longifolius,c3
Rumex maritimus,c3
Rumex obtusifolius,c3
Rumex palustris,c3
Rumex patientia,c3
Rumex pseudoalpinus,c3
Rumex pulcher,c3
Rumex rugosus,c3
Rumex rupestris,c3
Rumex sanguineus,c3
Rumex tenuifolius,c3
Ruppia cirrhosa,c3
Ruppia maritima,c3
Ruppia spiralis,c3
Ruscus aculeatus,c3
Sagina apetala,c3
Sagina boydii,c3
Sagina ciliata,c3
Sagina filicaulis,c3
Sagina glabra,c3
Sagina intermedia,c3
Sagina maritima,c3
Sagina nivalis,c3
Sagina nodosa,c3
Sagina pilifera,c3
Sagina procumbens,c3
Sagina saginoides,c3
Sagina saginoides subsp. scotica,c3
Sagina subulata,c3
Sagina x normaniana = S. saginoides x S. procumbens,c3
Sagittaria sagittifolia,c3
Salicornia dolichostachya,c3
Salicornia europaea,c3
Salicornia fragilis,c3
Salicornia lutescens,c3
Salicornia nitens,c3
Salicornia obscura,c3
Salicornia perennis,c3
Salicornia pusilla,c3
Salicornia ramosissima,c3
Salix alba,c3
Salix arbuscula,c3
Salix atrocinerea,c3
Salix aurita,c3
Salix caprea,c3
Salix cinerea,c3
Salix cinerea oleifolia,c3
Salix decipiens,c3
Salix fragilis,c3
Salix herbacea,c3
Salix hibernica,c3
Salix lanata,c3
Salix lapponum,c3
Salix myrsinifolia,c3
Salix myrsinites,c3
Salix nigricans,c3
Salix pentandra,c3
Salix phylicifolia,c3
Salix purpurea,c3
Salix repens,c3
Salix reticulata,c3
Salix triandra,c3
Salix viminalis,c3
Salvia horminoides,c3
Salvia pratensis,c3
Salvia verbenaca,c3
Sambucus ebulus,c3
Sambucus nigra,c3
Sambucus pubens,c3
Sambucus racemosa,c3
Sambucus sieboldiana,c3
Samolus valerandi,c3
Sanguisorba minor,c3
Sanguisorba officinalis,c3
Sanicula europaea,c3
Saponaria officinalis,c3
Sarcocornia perennis,c3
Sarothamnus scoparius,c3
Sarracenia purpurea,c3
Sasa palmata,c3
Satureja acinos,c3
Satureja calamintha,c3
Satureja menthifolia,c3
Satureja vulgaris,c3
Saussurea alpina,c3
Saxifraga aizoides,c3
Saxifraga cernua,c3
Saxifraga cespitosa,c3
Saxifraga decipiens,c3
Saxifraga geum,c3
Saxifraga granulata,c3
Saxifraga hirculus,c3
Saxifraga hirsuta,c3
Saxifraga hypnoides,c3
Saxifraga nivalis,c3
Saxifraga oppositifolia,c3
Saxifraga platypetala,c3
Saxifraga rivularis,c3
Saxifraga rosacea,c3
Saxifraga spathularis,c3
Saxifraga stellaris,c3
Saxifraga tridactylites,c3
Saxifraga x urbium = S. umbrosa x S. spathularis,c3
Scabiosa columbaria,c3
Scabiosa pratensis,c3
Scabiosa succisa,c3
Scandix pecten-veneris,c3
Scheuchzeria palustris,c3
Schoenoplectus lacustris,c3
Schoenoplectus tabernaemontani,c3
Schoenoplectus triqueter,c3
Schoenus ferrugineus,c3
Schoenus nigricans,c3
Scilla autumnalis,c3
Scilla verna,c3
Scirpoides holoschoenus,c3
Scirpus cernuus,c3
Scirpus cespitosus,c3
Scirpus fluitans,c3
Scirpus holoschoenus,c3
Scirpus lacustris,c3
Scirpus maritimus,c3
Scirpus setaceus,c3
Scirpus sylvaticus,c3
Scirpus triqueter,c3
Scleranthus annuus,c3
Scleranthus perennis,c3
Scorzonera humilis,c3
Scrophularia aquatica,c3
Scrophularia auriculata,c3
Scrophularia nodosa,c3
Scrophularia scorodonia,c3
Scrophularia umbrosa,c3
Scrophularia vernalis,c3
Scutellaria altissima,c3
Scutellaria galericulata,c3
Scutellaria minor,c3
Securigera varia,c3
Sedum acre,c3
Sedum telephium,c3
Selinum carvifolia,c3
Senecio aquaticus,c3
Senecio bicolor subsp. cineraria,c3
Senecio cambrensis,c3
Senecio campestris,c3
Senecio cineraria,c3
Senecio erraticus,c3
Senecio erucifolius,c3
Senecio fluviatilis,c3
Senecio fuchsii,c3
Senecio integrifolius,c3
Senecio jacobaea,c3
Senecio nemorensis subsp. fuchsii,c3
Senecio ovatus,c3
Senecio paludosus,c3
Senecio smithii,c3
Senecio squalidus,c3
Senecio sylvaticus,c3
Senecio vernalis,c3
Senecio viscosus,c3
Senecio vulgaris,c3
Seriphidium maritimum,c3
Serratula tinctoria,c3
Seseli libanotis,c3
Sesleria albicans,c3
Sesleria caerulea,c3
Sherardia arvensis,c3
Sibbaldia procumbens,c3
Sibthorpia europaea,c3
Sieglingia decumbens,c3
Silaum silaus,c3
Silaus flavescens,c3
Silene acaulis,c3
Silene alba,c3
Silene baccifera,c3
Silene conica,c3
Silene cucubalus,c3
Silene dioica,c3
Silene flos-cuculi,c3
Silene gallica,c3
Silene italica,c3
Silene latifolia,c3
Silene maritima,c3
Silene noctiflora,c3
Silene nutans,c3
Silene otites,c3
Silene pratensis,c3
Silene suecica,c3
Silene uniflora,c3
Silene vulgaris,c3
Silene vulgaris subsp. maritima,c3
Simethis planifolia,c3
Sinapis alba,c3
Sinapis arvensis,c3
Sinarundinaria anceps,c3
Sison amomum,c3
Sisymbrium alliaria,c3
Sisymbrium altissimum,c3
Sisymbrium irio,c3
Sisymbrium loeselii,c3
Sisymbrium officinale,c3
Sisymbrium orientale,c3
Sisymbrium thallianum,c3
Sisyrinchium bermudiana,c3
Sisyrinchium graminoides,c3
Sisyrinchium hibernicum,c3
Sium latifolium,c3
Smyrnium olusatrum,c3
Solanum dulcamara,c3
Solanum nigrum,c3
Solanum sarachoides,c3
Solanum sarrachoides,c3
Solanum triflorum,c3
Soleirolia soleirolii,c3
Solidago altissima,c3
Solidago canadensis,c3
Solidago gigantea,c3
Solidago serotina,c3
Solidago virgaurea,c3
Sonchus arvensis,c3
Sonchus asper,c3
Sonchus oleraceus,c3
Sonchus palustris,c3
Sorbus anglica,c3
Sorbus aria,c3
Sorbus arranensis,c3
Sorbus aucuparia,c3
Sorbus bristoliensis,c3
Sorbus devoniensis,c3
Sorbus eminens,c3
Sorbus hibernica,c3
Sorbus intermedia,c3
Sorbus lancastriensis,c3
Sorbus leptophylla,c3
Sorbus leyana,c3
Sorbus minima,c3
Sorbus porrigentiformis,c3
Sorbus pseudofennica,c3
Sorbus rupicola,c3
Sorbus subcuneata,c3
Sorbus torminalis,c3
Sorbus vexans,c3
Sorbus wilmottiana,c3
Sparganium angustifolium,c3
Sparganium emersum,c3
Sparganium erectum,c3
Sparganium minimum,c3
Sparganium natans,c3
Spergula arvensis,c3
Spergularia arvensis,c3
Spergularia bocconei,c3
Spergularia marginata,c3
Spergularia marina,c3
Spergularia maritima,c3
Spergularia media,c3
Spergularia rubra,c3
Spergularia rupicola,c3
Spiraea alba,c3
Spiraea filipendula,c3
Spiraea salicifolia,c3
Spiranthes romanzoffiana,c3
Spiranthes spiralis,c3
Spirodela polyrhiza,c3
Stachys alpina,c3
Stachys arvensis,c3
Stachys germanica,c3
Stachys officinalis,c3
Stachys palustris,c3
Stachys sylvatica,c3
Stellaria alsine,c3
Stellaria aquatica,c3
Stellaria graminea,c3
Stellaria holostea,c3
Stellaria media,c3
Stellaria neglecta,c3
Stellaria nemorum,c3
Stellaria pallida,c3
Stellaria palustris,c3
Stellaria uliginosa,c3
Steris alpina,c3
Steris viscaria,c3
Stratiotes aloides,c3
Suaeda fruticosa,c3
Suaeda maritima,c3
Suaeda vera,c3
Subularia aquatica,c3
Succisa pratensis,c3
