species,photo
Briza media,c3
Briza minor,c3
Bromopsis benekenii,c3
Bromopsis erecta,c3
Bromopsis ramosa,c3
Bromus benekenii,c3
Bromus carinatus,c3
Bromus commutatus,c3
Bromus diandrus,c3
Bromus erectus,c3
Bromus hordeaceus,c3
Bromus lepidus,c3
Bromus mollis,c3
Bromus pseudosecalinus,c3
Bromus racemosus,c3
Bromus ramosus,c3
Bromus secalinus,c3
Bromus sterilis,c3
Bromus tectorum,c3
Bryonia cretica,c3
Bryonia cretica subsp. dioica,c3
Bryonia dioica,c3
Buddleja davidii,c3
Buglossoides arvensis,c3
Buglossoides purpurocaerulea,c3
Bunias orientalis,c3
Bunium bulbocastanum,c3
Bupleurum baldense,c3
Bupleurum falcatum,c3
Bupleurum tenuissimum,c3
Butomus umbellatus,c3
Buxus sempervirens,c3
Cabomba caroliniana,c3
Cakile edentula,c3
Cakile maritima,c3
Calamagrostis canescens,c3
Calamagrostis epigejos,c3
Calamagrostis purpurea,c3
Calamagrostis scotica,c3
Calamagrostis stricta,c3
Calamintha clinopodium,c3
Calamintha nepeta,c3
Calamintha sylvatica,c3
Callitriche brutia,c3
Callitriche brutia subsp. hamulata,c3
Callitriche hamulata,c3
Callitriche hermaphroditica,c3
Callitriche intermedia subsp. hamulata,c3
Callitriche intermedia subsp. pedunculata,c3
Callitriche obtusangula,c3
Callitriche pedunculata,c3
Callitriche platycarpa,c3
Callitriche polymorpha,c3
Callitriche stagnalis,c3
Callitriche truncata,c3
Calluna vulgaris,c3
Caltha palustris,c3
Caltha radicans,c3
Calycomorphum subterraneum,c3
Calystegia dahurica,c3
Calystegia pulchra,c3
Calystegia sepium,c3
Calystegia sepium subsp. pulchra,c3
Calystegia sepium subsp. silvatica,c3
Calystegia silvatica,c3
Calystegia soldanella,c3
Camelina sativa,c3
Campanula giesekiana,c3
Campanula glomerata,c3
Campanula latifolia,c3
Campanula patula,c3
Campanula portenschlagiana,c3
Campanula poscharskyana,c3
Campanula rapunculoides,c3
Campanula rotundifolia,c3
Campanula trachelium,c3
Capsella bursa-pastoris,c3
Cardamine amara,c3
Cardamine bulbifera,c3
