species,ab_density,ad_density
Persicaria amphibia,170,195
Persicaria lapathifolia,205,107
Persicaria maculosa,155,48
Persicaria vivipara,172,33
Peucedanum officinale,68,80
Peucedanum palustre,75,50
Phalaris arundinacea,81,135
Phleum arenarium,80,235
Phleum pratense,103,136
Phragmites australis,670,600
Phyteuma spicatum,176,2
Pilosella officinarum,148,115
Pinguicula grandiflora,40,40
Pinus sylvestris,120,120
Plantago lanceolata,225,267
Plantago major,233,184
Plantago maritima,212,117
Plantago media,254,184
Poa alpina,55,82
Poa annua,135,125
Poa humilis,10.2,28
Poa nemoralis,118,3.8
Polemonium caeruleum,90,0
Polygala vulgaris,147,110
Polygonatum multiflorum,73,0
Polygonatum odoratum,66,0
Polygonatum verticillatum,88,0
Polygonum aviculare,144,106
Populus nigra,115,20
Populus tremula,330,0
Portulaca oleracea,36,36
Potamogeton gramineus,4,174
Potentilla erecta,400,0
Potentilla rupestris,192,45
Potentilla sterilis,171,0
Primula vulgaris,140,0
Prunella vulgaris,210,42
Prunus avium,282,0
Prunus padus,279,10
Prunus spinosa,375,0
Pulsatilla vulgaris,46.7,24.7
Pyrola minor,183,17
Quercus robur,450,0
Ranunculus auricomus,59,16
Ranunculus bulbosus,151,35
Ranunculus ficaria,75,21
Ranunculus flammula,98,79
Ranunculus lingua,27,13
Ranunculus parviflorus,70,16
Ranunculus repens,134,28
Ranunculus sceleratus,47,31
Raphanus raphanistrum,189,130
Reseda luteola,180,122
Rhamnus cathartica,167,0
Rhododendron ponticum,37.5,0.6
Ribes nigrum,144,0
Rorippa sylvestris,280,235
Rosa canina,89,0
Rumex acetosa,59,14
Rumex acetosella,80,58
Rumex crispus,70,34
Rumex obtusifolius,388,88
Rumex sanguineus,103,12
Salix caprea,400,0
Salix herbacea,84,78
Sanicula europaea,143,0
Saponaria officinalis,103,17
Saussurea alpina,62,9
Saxifraga aizoides,79,65
Saxifraga stellaris,5,16
Scrophularia auriculata,95,8
Scrophularia nodosa,181,2
Sedum acre,14,21
Sedum album,25,49
Sedum telephium,46,18
Senecio cambrensis,32,11
Senecio jacobaea,125,28
Senecio vulgaris,123,54
Serratula tinctoria,170,19
Sesleria caerulea,7.5,350
Sibbaldia procumbens,97,167
Sibthorpia europaea,100,0
Silene dioica,67,3
Silene latifolia,49,57
Silene uniflora,160,160
Silene vulgaris,32,32
Sison amomum,228,0
Sisymbrium officinale,363,279
Smyrnium olusatrum,67,157
Solanum dulcamara,156,0
Solanum nigrum,168.4,78.9
Solidago virgaurea,78,80
Sonchus arvensis,374,4
Sorbus aria,225,0
Sorbus aucuparia,224,0
Spartina alterniflora,0,211
Spartina anglica,0,88
Spartina maritima,0,178
Spartina x townsendii,0,193
Stachys germanica,430,40
Stachys officinalis,145,32
Stachys sylvatica,136,0
Stellaria graminea,85,35
Stellaria holostea,118,3
Stellaria media,46.8,33.1
Stratiotes aloides,49,31
Suaeda maritima,50,38
Succisa pratensis,222,79
Symphoricarpos albus,116,0
Tanacetum vulgare,160,200
Taxus baccata,115,0
Tephroseris integrifolia,70,20
Teucrium scorodonia,238,0
Thalictrum flavum,93,58
Thymus serpyllum,366,88
Tilia platyphyllos,119,0
Tragopogon pratensis,131,80
Trientalis europaea,47,0.5
Trifolium hybridum,359,463
Trifolium repens,136,198
Triglochin maritimum,103,30
Tripleurospermum inodorum,37,75
Trisetum flavescens,101,120
Tuberaria guttata,100,100
Vaccinium myrtillus,120,18
Vaccinium oxycoccos,486,0
Vaccinium uliginosum,189.3,0
Verbascum thapsus,140,10
Verbena officinalis,273,67
Veronica alpina,148,127
Veronica beccabunga,138,83
Veronica chamaedrys,190,4
Veronica montana,164,0
Veronica officinalis,90,23
Veronica spicata,130,50
Viburnum lantana,136,0
Viburnum opulus,126,0
Vicia hirsuta,21,63
Vicia sepium,160,0
Vicia sylvatica,5,78
Vinca minor,270,0
Viola canina,141,0
Viola hirta,201,56
Viola kitaibeliana,210,135
Viola odorata,96,5
Viola reichenbachiana,52,0
Wolffia arrhiza,0,25
