species,ab_density,ad_density,sr_propAd,sr_even,lifeform,ellenberg_light
Epilobium_alsinifolium,184,153,0.4540059347181009,0.8315217391304348,hc,8
Epilobium_anagallidifolium,120,189,0.6116504854368932,0.6349206349206349,hc,8
Epilobium_montanum,185,16,0.07960199004975124,0.08648648648648649,hc,6
Epilobium_palustre,240,89,0.270516717325228,0.37083333333333335,hc,7
Epilobium_tetragonum,200,145,0.42028985507246375,0.725,hc,6
Erica_ciliaris,164,0,0,0,Ch,8
Eryngium_maritimum,59,67,0.5317460317460317,0.8805970149253731,hc,9
Euonymus_europaeus,254,0.5,0.0019646365422396855,0.001968503937007874,Ph,5
Euphorbia_amygdaloides,104,0,0,0,Ch,4
Euphrasia_confusa,159,112,0.4132841328413284,0.7044025157232704,Th,8
Fagus_sylvatica,236,0,0,0,Ph,3
Fallopia_convolvulus,138,19,0.12101910828025478,0.13768115942028986,Th,7
Fallopia_japonica,76,0,0,0,Gn,6
Festuca_altissima,0,200,1,0,hc,3
Festuca_arundinacea,33,61,0.648936170212766,0.5409836065573771,hc,8
Festuca_gigantea,3.5,36,0.9113924050632911,0.09722222222222222,hc,5
Festuca_longifolia,0,240,1,0,hc,8
Festuca_pratensis,26.3,84,0.7615593834995467,0.3130952380952381,hc,7
Fragaria_vesca,223,0,0,0,hc,6
Fraxinus_excelsior,176,0,0,0,Ph,5
Gagea_lutea,27,27,0.5,1,Gn,4
Galanthus_nivalis,55,30,0.35294117647058826,0.5454545454545454,Gn,5
Galeopsis_tetrahit,140,15,0.0967741935483871,0.10714285714285714,Th,7
Galium_mollugo,200,10,0.047619047619047616,0.05,hc,7
Gentiana_verna,70,50,0.4166666666666667,0.7142857142857143,Ch,8
Gentianella_amarella,127,32,0.20125786163522014,0.25196850393700787,hc,8
Geranium_dissectum,318,0,0,0,Th,7
Geranium_phaeum,130,0,0,0,hc,6
Geranium_purpureum,107.4,0,0,0,Th,7
Geranium_pyrenaicum,146,51,0.25888324873096447,0.3493150684931507,hc,8
Geranium_robertianum,190,0,0,0,hc,5
Geum_rivale,220,20,0.08333333333333333,0.09090909090909091,hc,6
