"SpeciesAuthor","SpeciesAccepted","dim","repProp","repActive","repDorm","survProblem","primitive","irreducible","ergodic","F0","C0","F0C0","lambda","lambdaAway","R0","T","KeyfitzH","DemetriusH","lifespanFun","lifespanDoak","prob1stReprod","La","QSD0.1","QSD0.05","QSD0.01","rho","periodOscillation","react","firstStepAtt","maxAmp","maxAtt","inertiaUp","inertiaLow","inertiaTotal","KreissUp","KreissLow","KreissTotal","vProp","vActive","vDorm","wProp","wActive","wDorm","Eprog","Efec","Esurv"
"Alaria_nana","Alaria nana",6,0,6,0,0.99575,TRUE,TRUE,TRUE,0,1,0,1.00458410822407,0.00458410822406874,0.441946420737354,-178.53784695041,0.686955144829412,0.849602985106616,3.49501978238649,11,0.704979260418611,3.71875600501809,3,4,6,3.31172941254038,NA,1.32890814126062,0.850351894885304,1.43127226673792,0.816370060458588,1.41836703442185,0.8165292843895,0.601837750032354,1.41836652554911,0.816529505838724,0.601837019710383,0,1,0,0,1,0,0.438281492407014,0.2946943921689,0.267024115424086
"Ascophyllum_nodosum","Ascophyllum nodosum",6,0,6,0,1.1208,TRUE,TRUE,TRUE,0,1,0,0.933455974925062,0.0665440250749384,0.326370507312756,16.2604992408222,1.3752331101857,0.951730786393849,2.27613522112591,20,0.3106,2,7,9,11,1.75931998944551,16.5801067394207,5.20554812495586,0.332741991420576,5.20554812495586,0.161846058878732,3.35460830405342,0.172256950457137,3.18235135359628,3.53648976430668,0.172257970305,3.36423179400168,0,1,0,0,1,0,0.36522115605577,0.0500947977288397,0.57445412274743
"Ecklonia_radiata","Ecklonia radiata",8,0,8,0,0.81,TRUE,TRUE,TRUE,0,1,0,0.896227025443766,0.103772974556234,0.543255985992598,5.56924212763938,0.920226472572393,0.822576630716172,2.62435581861154,12,0.332194270681757,2.85013458338035,6,7,9,2.35608191592839,4.99276793875178,1.6569462400051,0.0836841535356109,1.6569462400051,0.0408433089498258,1.47948524287854,0.0461702391291233,1.43331500374941,1.47948475637531,0.0461712278245418,1.43331352855077,0,1,0,0,1,0,0.463586584780077,0.166268585419008,0.370144829800913
"Fucus_distichus","Fucus vesiculosus",9,0,9,0,0.7184,TRUE,TRUE,TRUE,0,1,0,0.993772668970397,0.00622733102960327,0.93577078015422,10.6269941562902,0.60664587460142,0.744693887400144,1.48333129218313,8,0.00525770816784623,6.94909414851877,13,16,22,1.24151414829159,10.7497765143205,423.700523416772,0.255994160378321,423.700523416772,0.0394877501498576,104.852759702106,0.139684558554797,104.713075143552,162.274737515719,0.139685216690364,162.135052299029,0,1,0,0,1,0,0.501914302966661,0.0937241649905661,0.404361532042772
"Gelidium_sesquipedale","Gelidium sesquipedale",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gracilaria_gracilis","Gracilaria gracilis",4,1,3,0,1.14179356242294,TRUE,TRUE,TRUE,0,1,0,1.12582854256491,0.125828542564907,3.1955190095095,9.80220132716696,0.769037150586252,18.7545306853338,24.0405500072024,86,1,8.02237231467351,594,774,1171,1.19583412996835,NA,9426.15627047433,1.69758132651655e-05,9426.15627047433,1.69758132651655e-05,3986.26868088193,0.0676701527514293,3986.20101072918,3962.32535991698,0.0676708075084935,3962.25768910948,6.0186590428646e-06,0.999993981340957,0,0.999754935314161,0.000245064685838629,0,0.301765056265467,0.0676535691867044,0.566073469283356
"Iridaea_splendens","Iridaea splendens",8,2,6,0,0.701,TRUE,TRUE,TRUE,0,1,0,0.707911620881801,0.292088379118199,0,NA,0.889580706514568,11.993715325532,2.75198626887078,12,0.0528947368421053,3.63157894736842,1,1,2,1.39742982352244,10.6844291634376,141261.561542718,0.000283227445468758,141261.561542718,0.000143672952885607,24642.5835670157,0.100650205141498,24642.4829168105,38192.344243875,0.100651063449658,38192.2435928116,5.74078940671016e-06,0.999994259210593,0,0.998331849800605,0.00166815019939467,0,0.270144539417038,0.124041554700067,0.605813905882893
"Laminaria_digitata","Laminaria digitata",5,0,5,0,0.888,TRUE,TRUE,TRUE,0,1,0,0.751255526819463,0.248744473180537,0.13173805181496,7.08696821337105,0.868433742951875,0.318932562714418,2.03045821566908,11,0.192716236722307,2.51745068285281,8,9,11,1.61742163279366,NA,1.26188755510855,0.031946520382495,1.53313236314268,0.00976061952797793,1.53313536674886,0.00976048787599045,1.52337487887287,1.53313406066682,0.00976152437716451,1.52337253628966,0,1,0,0,1,0,0.238692559391799,0.0511052643214603,0.71020217628674
"Macrocystis_pyrifera","Macrocystis pyrifera",8,0,8,0,1,FALSE,FALSE,FALSE,1,1,1,0.96,0.04,0,NA,1.23119090042392,NA,15.482382548805,92,0,1,27,31,39,1.28,NA,1.04166666666667,0.78125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Pterygophora_californica","Pterygophora californica",12,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
