species,ab_density,ad_density,sr_propAd,sr_even,lifeform,ellenberg_light,height,wh
Eryngium_maritimum,59,67,0.5317460317460317,0,hc,9,60,h
Euonymus_europaeus,254,0.5,0.0019646365422396855,0,Ph,5,600,w
Euphorbia_amygdaloides,104,0,0,0,Ch,4,70,h
Euphrasia_confusa,159,112,0.4132841328413284,0,Th,8,20,h
Fagus_sylvatica,236,0,0,0,Ph,3,3000,w
Fallopia_convolvulus,138,19,0.12101910828025478,0,Th,7,100,h
Fallopia_japonica,76,0,0,0,Gn,6,200,h
Festuca_altissima,0,200,1,0,hc,3,120,h
Festuca_arundinacea,33,61,0.648936170212766,0,hc,8,120,h
Festuca_gigantea,3.5,36,0.9113924050632911,0,hc,5,125,h
Festuca_longifolia,0,240,1,0,hc,8,40,h
Festuca_pratensis,26.3,84,0.7615593834995467,0,hc,7,80,h
Fragaria_vesca,223,0,0,0,hc,6,30,h
Fraxinus_excelsior,176,0,0,0,Ph,5,2500,w
Gagea_lutea,27,27,0.5,0,Gn,4,25,h
Galanthus_nivalis,55,30,0.35294117647058826,0,Gn,5,22,h
Galeopsis_tetrahit,140,15,0.0967741935483871,0,Th,7,100,h
Galium_mollugo,200,10,0.047619047619047616,0,hc,7,112,h
Gentiana_verna,70,50,0.4166666666666667,0,Ch,8,7,h
Gentianella_amarella,127,32,0.20125786163522014,0,hc,8,30,h
Geranium_dissectum,318,0,0,0,Th,7,60,h
Geranium_phaeum,130,0,0,0,hc,6,80,h
Geranium_purpureum,107.4,0,0,0,Th,7,50,h
Geranium_pyrenaicum,146,51,0.25888324873096447,0,hc,8,60,h
Geranium_robertianum,190,0,0,0,hc,5,50,h
Geum_rivale,220,20,0.08333333333333333,0,hc,6,50,h
Glaucium_flavum,88,117,0.5707317073170731,0,hc,9,90,h
Glechoma_hederacea,160,0,0,0,hc,6,30,h
Gnaphalium_norvegicum,144,7,0.046357615894039736,0,hc,8,30,h
Hedera_helix,125,0,0,0,Ph,4,3000,w
Helianthemum_nummularium,260,120,0.3157894736842105,0,Ch,7,15,sw
Helictotrichon_pratense,33,85,0.7203389830508474,0,hc,7,80,h
Helictotrichon_pubescens,12,89,0.8811881188118812,0,hc,7,100,h
Helleborus_foetidus,65,0,0,0,Ch,5,80,h
Helleborus_viridis,41,0,0,0,hc,3,40,h
Heracleum_mantegazzianum,491,75,0.13250883392226148,0,hc,7,350,h
Heracleum_sphondylium,314,60,0.16042780748663102,0,hc,7,175,h
Himantoglossum_hircinum,44,0,0,0,Gn,7,70,h
Hippocrepis_comosa,190,156,0.4508670520231214,0,Ch,8,25,h
Holcus_lanatus,37,55,0.5978260869565217,0,hc,7,100,h
Holcus_mollis,38,61,0.6161616161616161,0,hc,6,100,h
Hordelymus_europaeus,5,79,0.9404761904761905,0,hc,6,120,h
Hordeum_jubatum,80,120,0.6,0,hc,9,60,h
Hordeum_murinum,58,62,0.5166666666666667,0,Th,8,60,h
Hyacinthoides_non-scripta,51,55,0.5188679245283019,0,Gn,5,50,h
Hydrocotyle_vulgaris,97,25,0.20491803278688525,0,hc,8,20,h
Hypericum_androsaemum,200,0,0,0,Ph,5,80,w
Hypericum_hirsutum,298,0,0,0,hc,6,100,h
Hypericum_linariifolium,150,0,0,0,hc,7,40,h
Hypericum_perforatum,233,0,0,0,hc,7,80,h
Hypericum_pulchrum,163,0,0,0,hc,6,60,h
Hypochaeris_maculata,204,158,0.43646408839779005,0,hc,8,60,h
Hypochaeris_radicata,131,136,0.5093632958801498,0,hc,8,60,h
Ilex_aquifolium,180,0,0,0,Ph,5,1500,w
Impatiens_glandulifera,277,137,0.3309178743961353,0,Th,6,200,h
Impatiens_noli-tangere,261,12,0.04395604395604396,0,Th,4,60,h
Inula_conyzae,104,94,0.47474747474747475,0,hc,7,125,h
Jasione_montana,61.6,14,0.1851851851851852,0,hc,7,50,h
Juncus_squarrosus,300,0,0,0,hc,7,30,h
Koeleria_macrantha,0,92,1,0,hc,8,50,h
